flight_id,flight_number,callsign,airline,airline_iata,airline_icao,aircraft_model,aircraft_code,registration,status,status_category,scheduled,estimated,origin_airport,origin_iata,origin_icao,origin_city,origin_country,destination_airport,destination_iata,flight_type,data_airport,data_timestamp,baggage_claim,terminal,gate,destination_icao,destination_city,destination_country
,AT771,RAM771T,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-ROL,Scheduled,scheduled,1756239600,,Paris Orly Airport,ORY,LFPO,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277202,,2,,,,
,AT961,RAM961U,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-ROE,Scheduled,scheduled,1756239900,,Barcelona El Prat Airport,BCN,LEBL,Barcelona,Spain,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277231,,2,,,,
,AT721,RAM721P,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-ROY,Scheduled,scheduled,1756240200,,Lyon Saint Exupery Airport,LYS,LFLL,Lyon,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277253,,2,,,,
,AT801,RAM801F,Royal Air Maroc,AT,RAM,Boeing 737 MAX 8,B38M,CN-RHC,Scheduled,scheduled,1756240200,,London Heathrow Airport,LHR,EGLL,London,United Kingdom,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277278,,2,,,,
,AT819,RAM819I,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-ROK,Scheduled,scheduled,1756240500,,Manchester Airport,MAN,EGCC,Manchester,United Kingdom,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277301,,2,,,,
,AT985,RAM985A,Royal Air Maroc,AT,RAM,Embraer E190AR,E190,CN-RGO,Scheduled,scheduled,1756240500,,Malaga Costa Del Sol Airport,AGP,LEMG,Malaga,Spain,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277329,,2,,,,
,AT715,RAM715Z,Royal Air Maroc (Oneworld Livery),AT,RAM,Boeing 737-8B6,B738,CN-RGJ,Scheduled,scheduled,1756241700,,Nice Cote d'Azur Airport,NCE,LFMN,Nice,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277356,,2,,,,
,TB7222,JAF35H,TUI,X3,TUI,Boeing 737-8K5,B738,OO-JAX,Scheduled,scheduled,1756243200,,Lille Airport,LIL,LFQQ,Lille,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277377,,2,,,,
,AT1413,,Royal Air Maroc,AT,RAM,,73H,,Scheduled,scheduled,1756243500,,El Aaiun Hassan Airport,EUN,GMML,El Aaiun,Morocco,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277397,,2,,,,
,AT8767,RAM8767,Royal Air Maroc,AT,RAM,Boeing 737 MAX 8,B38M,CN-MAX,Scheduled,scheduled,1756244580,,Paris Orly Airport,ORY,LFPO,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277426,,,,,,
,PC651,PGT651,Pegasus,PC,PGT,Airbus A321-251NX,A21N,TC-RFP,Scheduled,scheduled,1756245600,,Istanbul Sabiha Gokcen International Airport,SAW,LTFJ,Istanbul,Turkey,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277452,,2,,,,
,3O394,MAC394X,SmartLynx,6Y,ART,Airbus A320-214,A320,9H-SLH,Scheduled,scheduled,1756245600,,Madrid Barajas Airport,MAD,LEMD,Madrid,Spain,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277482,,2,,,,
,3O112,MAC112X,Air Arabia,G9,ABY,Airbus A320-214,A320,CN-NMN,Scheduled,scheduled,1756246200,,Brussels Airport,BRU,EBBR,Brussels,Belgium,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277504,,2,,,,
,AT482,,Royal Air Maroc,AT,RAM,,AT7,,Scheduled,scheduled,1756246500,,Agadir Al Massira Airport,AGA,GMAD,Agadir,Morocco,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277524,,2,,,,
,AT935,RAM935,Royal Air Maroc,AT,RAM,Embraer E190AR,E190,CN-RGP,Scheduled,scheduled,1756246800,,Naples Airport,NAP,LIRN,Naples,Italy,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277547,,2,,,,
,AT203,RAM203J,Royal Air Maroc,AT,RAM,Boeing 787-8 Dreamliner,B788,CN-RGS,Scheduled,scheduled,1756247100,,New York John F. Kennedy International Airport,JFK,KJFK,New York,United States,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277567,,2,,,,
,AT502,,Royal Air Maroc,AT,RAM,,73H,,Scheduled,scheduled,1756248300,,Dakar Blaise Diagne International Airport,DSS,GOBD,Dakar,Senegal,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277587,,2,,,,
,AT751,RAM751P,Royal Air Maroc,AT,RAM,Boeing 737-86N,B738,CN-RGG,Scheduled,scheduled,1756248300,,Paris Orly Airport,ORY,LFPO,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277611,,2,,,,
,MS861,,Egyptair,MS,MSR,,738,,Scheduled,scheduled,1756248300,,Cairo International Airport,CAI,HECA,Cairo,Egypt,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277675,,1,,,,
,AT528,,Royal Air Maroc,AT,RAM,,73H,,Scheduled,scheduled,1756248600,,Conakry International Airport,CKY,GUCY,Conakry,Guinea,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277712,,2,,,,
,AT207,RAM207,Royal Air Maroc,AT,RAM,,B789,,Scheduled,scheduled,1756248900,,Montreal Pierre Elliott Trudeau Airport,YUL,CYUL,Montreal,Canada,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277734,,2,,,,
,AT534,,Royal Air Maroc,AT,RAM,,73H,,Scheduled,scheduled,1756249500,,Abidjan Port Bouet Airport,ABJ,DIAP,Abidjan,Ivory Coast,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277757,,2,,,,
